"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Teodosio, Bryce","669326","2024","12","7",0.083,0.122,-0.03899999999999999,0.083,0.142,-0.05899999999999998,0.073,0.118,-0.045
"Jordan, Levi","682119","2024","11","8",0.1,0.123,-0.022999999999999993,0.2,0.192,0.008000000000000007,0.114,0.13,-0.016
"Peraza, Oswald","672724","2024","11","7",0.2,0.223,-0.022999999999999993,0.5,0.47,0.030000000000000027,0.329,0.333,-0.0040000000000000036
"Alvarez, Eddy","657193","2024","11","7",0,0.178,-0.178,0,0.201,-0.201,0.128,0.268,-0.14
"Duffy, Matt","622110","2024","10","6",0.286,0.413,-0.127,0.286,0.477,-0.191,0.386,0.482,-0.09599999999999997
"Martínez, J.P.","679881","2024","10","6",0.2,0.1,0.1,0.3,0.112,0.188,0.214,0.093,0.121
"Helman, Michael","680737","2024","10","7",0.3,0.12,0.18,0.5,0.155,0.345,0.339,0.116,0.22300000000000003
"Kemp, Tony","643393","2024","10","8",0,0.134,-0.134,0,0.181,-0.181,0.069,0.194,-0.125
"Alcántara, Kevin","682634","2024","10","9",0.1,0.206,-0.10599999999999998,0.1,0.259,-0.159,0.088,0.207,-0.119
"Rios, Edwin","621458","2024","10","5",0.111,0.18,-0.06899999999999999,0.111,0.225,-0.114,0.157,0.23,-0.07300000000000001
"Peguero, Liover","678894","2024","10","7",0.2,0.269,-0.069,0.3,0.347,-0.046999999999999986,0.214,0.269,-0.05500000000000002
"Marlowe, Cade","687799","2024","9","7",0.25,0.309,-0.059,0.25,0.344,-0.09399999999999997,0.273,0.33,-0.056999999999999995
"Brantly, Rob","542963","2024","9","7",0.111,0.256,-0.14500000000000002,0.111,0.509,-0.398,0.098,0.329,-0.231
"Fletcher, David","664058","2024","9","8",0.25,0.088,0.162,0.25,0.101,0.149,0.196,0.14,0.055999999999999994
"Capra, Vinny","681962","2024","9","6",0.111,0.052,0.059000000000000004,0.222,0.071,0.15100000000000002,0.139,0.057,0.08200000000000002
